ShipmentNumber,OrderDateKey,ShipDateKey,ScheduledDeliveryDateKey,ActualDeliveryDateKey,OriginCity,DestinationCity,CustomerName,CarrierName,FreightCostUSD,ShipmentWeightKG,IsDelayed,IsDamaged,IsShortShipped
SH-001001,20251101,20251102,20251105,20251105,Chicago,New York,OmniCorp,FedEx Ground,340.50,150.00,0,0,0
SH-001002,20251101,20251103,20251108,20251110,Los Angeles,Houston,Apex Logistics,DHL Express,1250.00,540.00,1,0,0
SH-001003,20251102,20251103,20251106,20251106,Chicago,Seattle,BioTech Solutions,FedEx Ground,890.10,320.00,0,0,0
SH-001004,20251102,20251104,20251107,20251107,Atlanta,Miami,Prime Retailers,Swift Freight,210.00,110.00,0,0,0
SH-001005,20251103,20251104,20251109,20251111,Seattle,Los Angeles,Global Trade Co,DHL Express,980.00,420.00,1,1,0
SH-001006,20251103,20251105,20251108,20251108,Dallas,Boston,OmniCorp,Swift Freight,450.00,200.00,0,0,0
SH-001007,20251104,20251104,20251107,20251107,New York,Chicago,Apex Logistics,FedEx Ground,310.20,95.00,0,0,0
SH-001008,20251104,20251106,20251111,20251111,San Francisco,Denver,BioTech Solutions,DHL Express,1560.00,890.00,0,0,0
SH-001009,20251105,20251106,20251110,20251113,Miami,Atlanta,Prime Retailers,Swift Freight,220.00,115.00,1,0,1
SH-001010,20251105,20251107,20251110,20251110,Houston,Chicago,Global Trade Co,FedEx Ground,780.50,310.00,0,0,0
SH-001011,20251106,20251108,20251112,20251112,Boston,Dallas,OmniCorp,Swift Freight,420.00,190.00,0,0,0
SH-001012,20251106,20251107,20251110,20251111,Los Angeles,Seattle,Apex Logistics,DHL Express,1120.00,490.00,1,0,0
SH-001013,20251107,20251108,20251111,20251111,Chicago,Atlanta,BioTech Solutions,FedEx Ground,640.00,250.00,0,0,0
SH-001014,20251107,20251109,20251114,20251114,Denver,San Francisco,Prime Retailers,DHL Express,1480.00,820.00,0,0,0
SH-001015,20251108,20251108,20251111,20251111,Seattle,Chicago,Global Trade Co,FedEx Ground,890.00,380.00,0,0,0
SH-001016,20251108,20251110,20251113,20251115,Atlanta,Dallas,OmniCorp,Swift Freight,250.00,120.00,1,0,0
SH-001017,20251109,20251109,20251112,20251112,New York,Miami,Apex Logistics,DHL Express,1950.00,1100.00,0,0,0
SH-001018,20251109,20251111,20251114,20251114,Los Angeles,Houston,BioTech Solutions,Swift Freight,540.00,260.00,0,0,0
SH-001019,20251110,20251112,20251117,20251118,Dallas,Boston,Prime Retailers,FedEx Ground,820.00,340.00,1,0,0
SH-001020,20251110,20251111,20251114,20251114,Chicago,New York,Global Trade Co,FedEx Ground,340.50,150.00,0,0,0
